06:23:19,"[292, 584]"
06:23:19,"[289, 585]"
06:23:19,"[287, 639]"
06:23:19,"[282, 680]"
06:23:19,"[278, 712]"
06:23:19,"[272, 722]"
06:23:19,"[266, 729]"
06:23:19,"[262, 779]"
06:23:19,"[259, 783]"
06:23:20,"[257, 781]"
06:23:20,"[254, 790]"
06:23:20,"[253, 790]"
06:23:20,"[254, 791]"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
08:21:25,"[487, 259]"
08:21:25,"[495, 295]"
08:21:25,"[499, 297]"
08:21:25,"[504, 304]"
08:21:25,"[506, 311]"
08:21:25,"[512, 308]"
08:21:26,"[512, 307]"
08:21:26,"[515, 319]"
08:21:26,"[517, 318]"
08:21:26,"[524, 327]"
08:21:26,"[524, 347]"
08:21:26,"[527, 374]"
08:21:26,"[529, 380]"
08:21:26,"[533, 380]"
08:21:26,"[535, 378]"
08:21:26,"[536, 377]"
08:21:27,"[539, 395]"
08:21:27,"[539, 417]"
08:21:27,"[538, 445]"
08:21:27,"[539, 452]"
08:21:27,"[537, 450]"
08:21:27,"[536, 452]"
08:21:27,"[533, 444]"
08:21:27,"[531, 470]"
08:21:27,"[531, 486]"
08:21:27,"[530, 510]"
08:21:28,"[529, 524]"
08:21:28,"[528, 519]"
08:21:28,"[531, 523]"
08:21:28,"[530, 538]"
08:21:28,"[531, 593]"
08:21:28,"[526, 610]"
08:21:28,"[524, 628]"
08:21:28,"[520, 627]"
08:21:28,"[516, 630]"
08:21:28,"[515, 632]"
08:21:29,"[515, 672]"
08:21:29,"[517, 756]"
08:21:29,"[518, 789]"
08:21:29,"[521, 780]"
08:21:29,"[524, 791]"
08:21:29,"[532, 789]"
08:21:29,"[535, 792]"
08:21:29,"[538, 790]"
08:21:29,"[535, 787]"
08:21:29,"[534, 773]"
08:21:30,"[533, 793]"
08:21:30,"[535, 795]"
08:21:30,"[535, 794]"
08:21:30,"[538, 795]"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
